Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Type,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,Pedestrian Obeyed Traffic Signal,Pedestrian Visibility,At Fault,Injury Severity,Safety Equipment,Latitude,Longitude,Location
MCP2785002W,170521593,Montgomery County Police,Injury Crash,07/27/2017 10:37:00 AM,Other Public Roadway,CALVERTON BLVD,County,CHERRY HILL RD,,N/A,BICYCLIST,OTHER,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,N/A,N/A,C8CC9813-42D2-4B33-9B4F-7A6892E71F94,BICYCLIST,Walking/Cycling on Sidewalk,FAILURE TO YIELD RIGHT OF WAY,SIDEWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,39.05627,-76.95309833,"(39.05627, -76.95309833)"
MCP29710044,180046537,Montgomery County Police,Injury Crash,09/17/2018 03:30:00 PM,,SNOWDEN FARM PARKWAY,,NEWCUT ROAD,,N/A,PEDESTRIAN,OTHER,RAINING,WET,DAYLIGHT,FLASHING TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,112BF015-CAFB-4308-8544-489401E51195,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,UNKNOWN,No,POSSIBLE INJURY,NONE,39.22835497,-77.2502234,"(39.22835497, -77.2502234)"
DD55830022,16064028,Rockville Police Departme,Injury Crash,12/15/2016 05:16:00 PM,Municipality,FLEET ST,Municipality,JEFFERSON PLAZA,,ROCKVILLE,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,STOP SIGN,UNKNOWN,NONE DETECTED,B4011BB5-0C35-434F-91C3-C893B162E160,PEDESTRIAN,Walking to/from school,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No,POSSIBLE INJURY,N/A,39.08044886,-77.1461302,"(39.08044886, -77.1461302)"
DM8339000J,16044435,Takoma Park Police Depart,Injury Crash,08/31/2016 01:55:00 PM,Maryland (State),UNIVERSITY BLVD,Unknown,ENT TO BUSINESS,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,N/A,85C10D2B-81F6-48DA-94FE-18653F436D2E,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,UNKNOWN,No,SUSPECTED MINOR INJURY,N/A,38.99062116,-76.98955894,"(38.99062116, -76.98955894)"
MCP1121003J,170551486,Montgomery County Police,Injury Crash,12/31/2017 04:59:00 PM,Municipality,ODENDHAL AVE,Maryland (State),FREDERICK RD,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,UNKNOWN,NONE DETECTED,616491BA-C21E-4B11-8D37-27802B30029C,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.14855,-77.20680833,"(39.14855, -77.20680833)"
MCP30680019,180032817,Montgomery County Police,Injury Crash,07/03/2018 04:44:00 AM,County,WILLARD AVE,Municipality,THE HILLS PLAZA,,FRIENDSHIP HEIGHTS,PEDESTRIAN,OTHER,RAINING,WET,DUSK,PERSON,N/A,N/A,9B7A0106-D447-4774-A1A8-228143AF4AA6,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,N/A,38.96192667,-77.08813,"(38.96192667, -77.08813)"
MCP2450002X,190049073,Montgomery County Police,Injury Crash,10/12/2019 05:49:00 PM,US (State),GEORGIA AVE,County,13TH ST,,N/A,PEDESTRIAN,OTHER,N/A,N/A,DAYLIGHT,OTHER,NONE DETECTED,NONE DETECTED,3C03F820-6078-41AA-9F35-5CA3B2B52AA3,PEDESTRIAN,Getting off/on Vehicle,NO IMPROPER ACTIONS,SIDEWALK,N/A,N/A,No,POSSIBLE INJURY,N/A,38.98692833,-77.02664,"(38.98692833, -77.02664)"
DD5595005D,170549956,Rockville Police Departme,Injury Crash,12/21/2017 03:00:00 PM,Municipality,N WASHINGTON ST,Municipality,DAWSON AVE,,ROCKVILLE,"OTHER, PEDESTRIAN",SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,N/A,B7503504-6DC0-438B-A7EB-D0EC65D99554,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.08864917,-77.15325567,"(39.08864917, -77.15325567)"
MCP1550003J,220033123,Montgomery County Police,Injury Crash,08/02/2022 07:00:00 AM,County,TALBOT AVE,County,BROOKVILLE RD,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAWN,NO CONTROLS,NONE DETECTED,NONE DETECTED,72F32F31-6169-454E-86C9-2614E6B47963,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,N/A,MIXED CLOTHING,Yes,SUSPECTED MINOR INJURY,N/A,39.00538167,-77.049815,"(39.00538167, -77.049815)"
MCP27480016,190018590,Montgomery County Police,Injury Crash,04/20/2019 09:52:00 PM,Maryland (State),OLD GEORGETOWN RD,Maryland (State),ROCKVILLE PIKE,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,N/A,DARK LIGHTS ON,N/A,N/A,NONE DETECTED,1B3F0161-4558-4290-8F09-989002CACA9C,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,N/A,DARK CLOTHING,Yes,SUSPECTED SERIOUS INJURY,N/A,39.04508167,-77.1204155,"(39.04508167, -77.1204155)"
MCP28300029,16046204,Montgomery County Police,Injury Crash,09/09/2016 12:25:00 PM,,,,,"18140 VILLAGE CENTER DR OLNEY MD 20832

PARKING LOT",,PEDESTRIAN,OTHER,N/A,,DAYLIGHT,N/A,NONE DETECTED,NONE DETECTED,88FE8152-3334-4469-9013-CD87382AC780,PEDESTRIAN,Standing,UNKNOWN,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Unknown,POSSIBLE INJURY,NONE,39.152723,-77.064416,"(39.152723, -77.064416)"
MCP1168000G,16005415,Montgomery County Police,Injury Crash,02/02/2016 10:01:00 AM,Maryland (State),GEORGIA AVE,Maryland (State),CONNECTICUT AVE,,N/A,PEDESTRIAN,OTHER,CLEAR,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,ALCOHOL PRESENT,04B97FBF-6168-468E-B920-D06C512B47E1,PEDESTRIAN,Other,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes,SUSPECTED MINOR INJURY,N/A,39.08397741,-77.07787201,"(39.08397741, -77.07787201)"
MCP2960000L,15033506,MONTGOMERY,Injury Crash,07/08/2015 10:32:00 PM,Maryland (State),GEORGIA AVE,County,SHOREFIELD RD,,N/A,PEDESTRIAN,OTHER,N/A,N/A,DARK -- UNKNOWN LIGHTING,NO CONTROLS,NONE DETECTED,ALCOHOL PRESENT,8E4CCC65-383F-4029-A15C-07E6B1EBA23D,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,DISOBEYED PED. SIGNAL,DARK CLOTHING,Yes,POSSIBLE INJURY,NONE,39.05325562,-77.05094397,"(39.05325562, -77.05094397)"
MCP271700TB,210002365,Montgomery County Police,Injury Crash,01/19/2021 03:31:00 PM,Maryland (State),CONNECTICUT AVE,Municipality,ROSEMARY ST #2,,CHEVY CHASE #4,BICYCLIST,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,44A86B54-5448-4946-A2DA-D7D98E757D8E,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,MC/BIKE HELMET,38.97779433,-77.07710317,"(38.97779433, -77.07710317)"
MCP3050000N,170502919,Montgomery County Police,Injury Crash,04/19/2017 08:41:00 AM,,,,,DUNKIN DONUTS 13810 CONNECTICUT AVE SILVER SPRING 20906,,OTHER,SINGLE VEHICLE,CLEAR,,DAYLIGHT,N/A,NONE DETECTED,NONE DETECTED,4024C966-4958-407F-AF20-E9D67DE126F9,OTHER,Other,N/A,INSIDE BUILDING,N/A,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.08526833,-77.07725333,"(39.08526833, -77.07725333)"
MCP2782002Z,190030897,Montgomery County Police,Injury Crash,06/28/2019 07:05:00 PM,,,,,"ENTRANCE TO HOME DEPOT PARKING LOT AT 14000 GEORGIA AVE, SILVER SPRING, MD 20906",,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLOUDY,,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,21B69E2B-00CA-4F61-B9EC-12C70715B1FB,BICYCLIST,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,OTHER,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.08502417,-77.07865717,"(39.08502417, -77.07865717)"
MCP3126003B,220022002,Montgomery County Police,Injury Crash,05/23/2022 04:45:00 PM,County,CLARKSBURG RD,Unknown,OVERLOOK PARK DR,,N/A,BICYCLIST,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,10A93DE5-89C6-43EF-ABE1-12B324B20581,BICYCLIST,Walking/Riding w/Traffic,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,N/A,Yes,POSSIBLE INJURY,NONE,39.245105,-77.277885,"(39.245105, -77.277885)"
MCP2798002Y,170507244,Montgomery County Police,Property Damage Crash,05/11/2017 03:39:00 PM,County,CHERRY HILL RD,County,PLUM ORCHARD DR,,N/A,PEDESTRIAN,SINGLE VEHICLE,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,48F63274-57BE-4CC8-BA52-B1A2B340CCC5,PEDESTRIAN,Cross/Enter at Intersection,FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER,AT INTERSECTION MARKED CROSSWALK,DISOBEYED PED. SIGNAL,MIXED CLOTHING,Yes,NO APPARENT INJURY,NONE,39.05293167,-76.95316333,"(39.05293167, -76.95316333)"
MCP271700XF,230003968,Montgomery County Police,Injury Crash,01/24/2023 07:05:00 PM,County,NORMANDY CROSSING DR,Unknown,NORMANDY SQUARE DR,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,NONE DETECTED,CA77BA87-00F2-442C-B13C-0E44E19A6691,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.10208817,-77.05068733,"(39.10208817, -77.05068733)"
MCP2892001N,16029031,Montgomery County Police,Injury Crash,06/09/2016 04:43:00 PM,,,,,"PARKING LOT OF ST. JOHN THE EVANGELIST CATHOLIC CHURCH


10201 GEORGIA AVENUE",,PEDESTRIAN,OTHER,N/A,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,FC5571ED-38EE-4671-B3BE-E26CF66C860F,PEDESTRIAN,Walking/Riding against Traffic,NO IMPROPER ACTIONS,SIDEWALK,NO PED. SIGNAL,LIGHT CLOTHING,No,POSSIBLE INJURY,NONE,39.02362833,-77.0453,"(39.02362833, -77.0453)"
MCP3022001M,180007098,Montgomery County Police,Injury Crash,02/10/2018 07:33:00 PM,Maryland (State),MAIN ST,Maryland (State),WOODFIELD RD,,N/A,PEDESTRIAN,OTHER,FOGGY,WET,DARK LIGHTS ON,STOP SIGN,N/A,N/A,C812B247-5342-4441-A89C-3BD6F4DEE7E3,PEDESTRIAN,Unknown,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.28802667,-77.20246333,"(39.28802667, -77.20246333)"
MCP2845000X,15018338,Montgomery County Police,Injury Crash,04/19/2015 11:54:00 AM,County,LARISTON LA,County,LA GRANDE RD,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,79CD1293-01BC-4835-BC78-099F288F3DF8,PEDESTRIAN,Walking/Riding against Traffic,NOT VISIBLE,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,N/A,,POSSIBLE INJURY,N/A,39.02471833,-76.989235,"(39.02471833, -76.989235)"
MCP2919001F,16020556,Montgomery County Police,Property Damage Crash,04/26/2016 12:49:00 PM,Maryland (State),GEORGIA AVE,County,CORWIN DR,,N/A,OTHER,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,FEEBCBA3-8092-40B9-A768-FFA070C3C26B,OTHER,N/A,OTHER,INSIDE BUILDING,N/A,N/A,Yes,NO APPARENT INJURY,N/A,39.00801309,-77.03996971,"(39.00801309, -77.03996971)"
MCP3099000K,180019584,Montgomery County Police,Injury Crash,04/21/2018 07:00:00 PM,,,,,"PARKING LOT IN FRONT OF 13002 COUNTRY RIDGE DRIVE, GERMANTOWN",,PEDESTRIAN,OTHER,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,B4E785D5-BF6E-4BB7-A766-5CC6B67FBC85,PEDESTRIAN,Playing,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,UNKNOWN,Yes,POSSIBLE INJURY,NONE,39.18398618,-77.26866961,"(39.18398618, -77.26866961)"
MCP137800H6,170513692,Montgomery County Police,Injury Crash,06/14/2017 06:02:00 PM,Maryland (State),GREAT SENECA HWY,County,SAM EIG HWY,,N/A,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,68C640B1-4C11-494F-B762-0D0073A94B4E,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,MC/BIKE HELMET,39.10989667,-77.211555,"(39.10989667, -77.211555)"
MCP3217000F,200010643,Montgomery County Police,Injury Crash,03/03/2020 06:30:00 PM,,,,,"ONE WAY PRIVATE ALLEY BEHIND 12940 MIDDLEBROOK ROAD, GERMANTOWN, MD 20874",,PEDESTRIAN,HEAD ON LEFT TURN,CLEAR,,DUSK,NO CONTROLS,UNKNOWN,NONE DETECTED,C1B6767E-70AA-4D5F-8430-6DA6EE453EAD,PEDESTRIAN,Other,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,N/A,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.17955,-77.27135333,"(39.17955, -77.27135333)"
MCP26770014,170515744,Montgomery County Police,Injury Crash,06/25/2017 10:02:00 PM,County,SCENERY DR,Maryland (State),FREDERICK RD,,N/A,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,N/A,DARK LIGHTS ON,STOP SIGN,N/A,N/A,414711DB-89F7-4029-B5C0-CEAFD309EA00,BICYCLIST,Cross/Enter at Intersection,IN ROADWAY IMPROPERLY,AT INTERSECTION MARKED CROSSWALK,DISOBEYED PED. SIGNAL,MIXED CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,39.17546992,-77.23792076,"(39.17546992, -77.23792076)"
MCP2162004Q,200019716,Montgomery County Police,Injury Crash,05/16/2020 06:51:00 PM,,,,,"IN THE DRIVEWAY OF 16713 ALEXANDER MANOR DRIVE, SILVER SPRING, MARYLAND",,OTHER,SINGLE VEHICLE,CLEAR,,DAYLIGHT,NO CONTROLS,,N/A,9CED3A31-2BFB-459C-B859-A6588F0F2F23,OTHER,Getting off/on Vehicle,INATTENTIVE,OTHER,OTHER,LIGHT CLOTHING,Yes,POSSIBLE INJURY,NONE,39.1364856,-77.01767355,"(39.1364856, -77.01767355)"
MCP2848003C,16046174,Montgomery County Police,Injury Crash,09/09/2016 08:30:00 AM,Municipality,WILLIAMS LA,Maryland (State),CONNECTICUT AVE,,N/A,PEDESTRIAN,SINGLE VEHICLE,N/A,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,C50AEF03-ADB4-48D8-B772-3160F42EF47B,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No,POSSIBLE INJURY,NONE,38.98374013,-77.07703114,"(38.98374013, -77.07703114)"
MCP2298005P,15036380,MONTGOMERY,Injury Crash,07/23/2015 06:45:00 PM,,,,,"GAINT  PARKING LOT
13060 MIDDLEBROOK RD
GERMANTOWN
MD 20874",,PEDESTRIAN,OTHER,N/A,,DAYLIGHT,N/A,MEDICATION PRESENT,NONE DETECTED,0C0AE430-FC0B-4AC0-B975-7CBA73FEE8CF,PEDESTRIAN,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,OTHER,N/A,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.18155782,-77.27135181,"(39.18155782, -77.27135181)"
MCP2717001F,15029647,Montgomery County Police,Injury Crash,06/18/2015 01:18:00 AM,US (State),COLUMBIA PIKE,County,STEWART LA,,N/A,PEDESTRIAN,OTHER,RAINING,WET,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,ALCOHOL PRESENT,5D1468B5-C307-4909-8A3D-2C5FA5F93C20,PEDESTRIAN,Unknown,UNKNOWN,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,,SUSPECTED MINOR INJURY,NONE,39.04839167,-76.98383333,"(39.04839167, -76.98383333)"
MCP1425000B,170528335,Montgomery County Police,Property Damage Crash,09/02/2017 01:51:00 PM,Maryland (State),FALLS RD,County,GLEN RD,,N/A,OTHER,SINGLE VEHICLE,RAINING,WET,DAYLIGHT,NO CONTROLS,N/A,N/A,6467E07E-6858-429C-924D-394EC1E80AE4,OTHER,N/A,N/A,N/A,N/A,N/A,No,NO APPARENT INJURY,N/A,39.04686,-77.19077667,"(39.04686, -77.19077667)"
MCP31680052,220056686,Montgomery County Police,Injury Crash,12/21/2022 05:14:00 PM,County,REDLAND RD,County,PANORAMA DR,,N/A,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,N/A,NONE DETECTED,NONE DETECTED,A6023E21-52F1-4881-B72E-EC714E4160A2,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,SHOULDER,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,LIGHTING,39.12827277,-77.14962222,"(39.12827277, -77.14962222)"
EJ7852006F,220046268,Gaithersburg Police Depar,Property Damage Crash,10/21/2022 05:49:00 PM,,,,,104 MAIN STREET,,PEDESTRIAN,OTHER,N/A,,DAYLIGHT,N/A,N/A,NONE DETECTED,99D584C1-3E7D-4CE5-B7E2-9D6809B7EF3D,PEDESTRIAN,Other,INATTENTIVE,OUTSIDE RIGHT OF WAY,NO PED. SIGNAL,REFLECTIVE MATERIAL,Yes,NO APPARENT INJURY,REFLECTIVE CLOTHING,39.12431796,-77.2370865,"(39.12431796, -77.2370865)"
MCP3329000R,220046123,Montgomery County Police,Injury Crash,10/20/2022 07:04:00 PM,County,AVENEL RD,Other Public Roadway,CAMILLUS DR,,N/A,BICYCLIST,HEAD ON LEFT TURN,CLEAR,DRY,DARK -- UNKNOWN LIGHTING,N/A,NONE DETECTED,NONE DETECTED,F4350A95-415C-4FB9-BB47-1CB289C54F30,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.00969333,-76.98029,"(39.00969333, -76.98029)"
MCP2290001Q,180059883,Montgomery County Police,Injury Crash,11/30/2018 01:02:00 PM,,,,,PARKING LOT IFO 625 HUNGERFORD DR (GIANT),,PEDESTRIAN,SINGLE VEHICLE,CLEAR,,DAYLIGHT,N/A,NONE DETECTED,NONE DETECTED,FFD03A9E-D5FA-431B-857C-ACCD6DFD39EE,PEDESTRIAN,Other,N/A,OTHER,N/A,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.09270667,-77.15239667,"(39.09270667, -77.15239667)"
MCP1301001Z,220050810,Montgomery County Police,Fatal Crash,11/17/2022 08:29:00 AM,County,MEDICAL CENTER WAY,County,MEDICAL CENTER DR,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,6B218916-770E-423A-9E45-4CF6679E219A,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No,FATAL INJURY,N/A,39.09741,-77.19563333,"(39.09741, -77.19563333)"
EJ7876004W,220036918,Gaithersburg Police Depar,Injury Crash,08/27/2022 03:30:00 PM,Municipality,BUREAU DR,Unknown,CROSSOVER,,N/A,OTHER PEDALCYCLIST,OTHER,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,B9C6594B-71AD-4CC5-905B-0A95F7367D1D,OTHER PEDALCYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,MC/BIKE HELMET,39.14314953,-77.21732241,"(39.14314953, -77.21732241)"
MCP28450021,16041930,Montgomery County Police,Injury Crash,08/18/2016 01:10:00 PM,,,,,SIDEWALK PARALLEL TO 10008 COLESVILLE ROAD,,BICYCLIST,SINGLE VEHICLE,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,12E9569A-45E2-424C-8F6D-F3ECC535EDD2,BICYCLIST,Walking/Cycling on Sidewalk,WRONG WAY RIDING OR WALKING,SIDEWALK,NO PED. SIGNAL,LIGHT CLOTHING,No,POSSIBLE INJURY,MC/BIKE HELMET,39.01908783,-77.01417089,"(39.01908783, -77.01417089)"
MCP2439000K,15043068,MONTGOMERY,Injury Crash,08/27/2015 05:45:00 PM,County,MONTGOMERY VILLAGE AVE,County,WALKERS CHOICE RD,,N/A,BICYCLIST,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,N/A,N/A,AA17353D-5F98-46F1-A201-9784DB94E045,BICYCLIST,Walking/Riding against Traffic,IN ROADWAY IMPROPERLY,OUTSIDE RIGHT OF WAY,NO PED. SIGNAL,MIXED CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,39.16538881,-77.20480084,"(39.16538881, -77.20480084)"
MCP94300001,16055044,Montgomery County Police,Injury Crash,10/26/2016 07:45:00 AM,,,,,DRIVEWAY TO GIANT 10400 OLD GEORGETOWN ROAD,,BICYCLIST,OTHER,CLEAR,,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,0E895861-5CD2-434F-85D1-129CEB820520,BICYCLIST,Cross/Enter at Intersection,N/A,ON ROADWAY NOT AT CROSSWALK,N/A,N/A,No,SUSPECTED MINOR INJURY,MC/BIKE HELMET,39.02618833,-77.12957167,"(39.02618833, -77.12957167)"
MCP2991000N,16012108,MONTGOMERY,Injury Crash,03/11/2016 11:30:00 AM,Maryland (State),UNIVERSITY BLVD W,County,GRANDVIEW AVE,,N/A,PEDESTRIAN,SINGLE VEHICLE,N/A,N/A,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,666A22C5-51DD-4126-B30B-73251BD3832F,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,N/A,No,SUSPECTED MINOR INJURY,N/A,39.04119253,-77.05307499,"(39.04119253, -77.05307499)"
MCP3182000C,190020960,Montgomery County Police,Injury Crash,05/04/2019 02:37:00 AM,,,,,"FENTON ST VILLAGE GARAGE 
8110 FENTON ST SILVER SPRING MD 20910",,PEDESTRIAN,SINGLE VEHICLE,N/A,,DARK LIGHTS ON,N/A,UNKNOWN,ALCOHOL PRESENT,2B4B0035-8FB3-49F3-AE27-14D42AF50F5B,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,N/A,N/A,No,POSSIBLE INJURY,N/A,38.99098465,-77.02515243,"(38.99098465, -77.02515243)"
MCP271700GQ,180013953,Montgomery County Police,Injury Crash,03/20/2018 05:30:00 PM,,,,,5144 NICHOLSON LANE (COMMERCIAL PARKING LOT),,PEDESTRIAN,OTHER,RAINING,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,3C2A41BB-F4C8-47E0-B3D8-7191AC82B685,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,N/A,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.04385167,-77.105115,"(39.04385167, -77.105115)"
DM8336000R,16019660,Takoma Park Police Depart,Injury Crash,04/21/2016 04:55:00 PM,Municipality,HOLTON LA,Municipality,JACKSON AVE,,TAKOMA PARK,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,N/A,NONE DETECTED,NONE DETECTED,4C64B792-A274-4F2E-870F-3BF817485E18,PEDESTRIAN,Standing,INATTENTIVE,N/A,N/A,UNKNOWN,Unknown,SUSPECTED MINOR INJURY,N/A,38.98579377,-76.99170068,"(38.98579377, -76.99170068)"
MCP2707002V,230027115,Montgomery County Police,Injury Crash,06/06/2023 10:35:00 AM,Municipality,MAIN ST,Municipality,KENTLANDS BLVD,,GAITHERSBURG,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,YIELD SIGN,NONE DETECTED,NONE DETECTED,01EE8413-2417-4288-8D97-6B87874AD95E,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,Yes,POSSIBLE INJURY,NONE,39.123255,-77.23887333,"(39.123255, -77.23887333)"
MCP2928001W,170525926,Montgomery County Police,Injury Crash,08/20/2017 10:09:00 PM,Maryland (State),16TH ST,Maryland (State),EAST WEST HWY,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,D8A73013-5910-43AB-AE5D-2FFC67B38AB1,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,POSSIBLE INJURY,NONE,38.99440487,-77.03637555,"(38.99440487, -77.03637555)"
